,0
814,002349.SZ financial_ratio
815,002350.SZ financial_ratio
816,002351.SZ financial_ratio
817,002352.SZ financial_ratio
818,002353.SZ financial_ratio
819,002354.SZ financial_ratio
820,002355.SZ financial_ratio
821,002356.SZ financial_ratio
822,002357.SZ financial_ratio
823,002358.SZ financial_ratio
824,002360.SZ financial_ratio
825,002361.SZ financial_ratio
826,002362.SZ financial_ratio
827,002363.SZ financial_ratio
828,002364.SZ financial_ratio
829,002365.SZ financial_ratio
830,002366.SZ financial_ratio
831,002367.SZ financial_ratio
832,002368.SZ financial_ratio
833,002369.SZ financial_ratio
834,002370.SZ financial_ratio
835,002371.SZ financial_ratio
836,002372.SZ financial_ratio
837,002373.SZ financial_ratio
838,002374.SZ financial_ratio
839,002375.SZ financial_ratio
840,002376.SZ financial_ratio
841,002377.SZ financial_ratio
842,002378.SZ financial_ratio
843,002379.SZ financial_ratio
844,002380.SZ financial_ratio
845,002381.SZ financial_ratio
846,002382.SZ financial_ratio
847,002383.SZ financial_ratio
848,002384.SZ financial_ratio
849,002385.SZ financial_ratio
850,002386.SZ financial_ratio
851,002387.SZ financial_ratio
852,002388.SZ financial_ratio
853,002389.SZ financial_ratio
854,002390.SZ financial_ratio
855,002391.SZ financial_ratio
856,002392.SZ financial_ratio
857,002393.SZ financial_ratio
858,002394.SZ financial_ratio
859,002395.SZ financial_ratio
860,002396.SZ financial_ratio
861,002397.SZ financial_ratio
862,002398.SZ financial_ratio
863,002399.SZ financial_ratio
864,002400.SZ financial_ratio
865,002401.SZ financial_ratio
866,002402.SZ financial_ratio
867,002403.SZ financial_ratio
868,002404.SZ financial_ratio
869,002405.SZ financial_ratio
870,002406.SZ financial_ratio
871,002407.SZ financial_ratio
872,002408.SZ financial_ratio
873,002409.SZ financial_ratio
874,002410.SZ financial_ratio
875,002411.SZ financial_ratio
876,002412.SZ financial_ratio
877,002413.SZ financial_ratio
878,002414.SZ financial_ratio
879,002415.SZ financial_ratio
880,002416.SZ financial_ratio
881,002417.SZ financial_ratio
882,002418.SZ financial_ratio
883,002419.SZ financial_ratio
884,002420.SZ financial_ratio
885,002421.SZ financial_ratio
886,002422.SZ financial_ratio
887,002423.SZ financial_ratio
888,002424.SZ financial_ratio
889,002425.SZ financial_ratio
890,002426.SZ financial_ratio
891,002427.SZ financial_ratio
892,002428.SZ financial_ratio
893,002429.SZ financial_ratio
894,002430.SZ financial_ratio
895,002431.SZ financial_ratio
896,002432.SZ financial_ratio
897,002433.SZ financial_ratio
898,002434.SZ financial_ratio
899,002435.SZ financial_ratio
900,002436.SZ financial_ratio
901,002437.SZ financial_ratio
902,002438.SZ financial_ratio
903,002439.SZ financial_ratio
904,002440.SZ financial_ratio
905,002441.SZ financial_ratio
906,002442.SZ financial_ratio
907,002443.SZ financial_ratio
908,002444.SZ financial_ratio
909,002445.SZ financial_ratio
910,002446.SZ financial_ratio
911,002447.SZ financial_ratio
912,002448.SZ financial_ratio
913,002449.SZ financial_ratio
914,002451.SZ financial_ratio
915,002452.SZ financial_ratio
916,002453.SZ financial_ratio
917,002454.SZ financial_ratio
918,002455.SZ financial_ratio
919,002456.SZ financial_ratio
920,002457.SZ financial_ratio
921,002458.SZ financial_ratio
922,002459.SZ financial_ratio
923,002460.SZ financial_ratio
924,002461.SZ financial_ratio
925,002462.SZ financial_ratio
926,002463.SZ financial_ratio
927,002464.SZ financial_ratio
928,002465.SZ financial_ratio
929,002466.SZ financial_ratio
930,002467.SZ financial_ratio
931,002468.SZ financial_ratio
932,002469.SZ financial_ratio
